Magdalena ADAMOWICZ
Bartosz ARUKOWICZ
Marek Pawe BALT
Robert BIEDRO
Adam BIELAN
Joachim Stanisaw BRUDZISKI
Jerzy BUZEK
Ryszard CZARNECKI
Jarosaw DUDA
Tomasz FRANKOWSKI
Andrzej HALICKI
Krzysztof HETMAN
Danuta Maria HBNER
Adam JARUBAS
Beata KEMPA
Izabela-Helena KLOC
ukasz KOHUT
Ewa KOPACZ
Zbigniew KUMIUK
Janusz LEWANDOWSKI
Bogusaw LIBERADZKI
Elbieta Katarzyna UKACIJEWSKA
Leszek MILLER
Janina OCHOJSKA
Jan OLBRYCHT
Elbieta RAFALSKA
Bogdan RZOCA
Radosaw SIKORSKI
Sylwia SPUREK
Beata SZYDO
Dominik TARCZYSKI
Ra THUN UND HOHENSTEIN
Witold Jan WASZCZYKOWSKI
Jadwiga WINIEWSKA
Kosma ZOTOWSKI
Asim ADEMOV
Angel DZHAMBAZKI
Radan KANEV
Andrey KOVATCHEV
Ilhan KYUCHYUK
Eva MAYDELL
Andrey NOVAKOV
Emil RADEV
Sergei STANISHEV
Isabella ADINOLFI
Tiziana BEGHIN
Brando BENIFEI
Sergio BERLATO
Silvio BERLUSCONI
Simona BONAF
Paolo BORCHIA
Marco CAMPOMENOSI
Andrea CAROPPO
Fabio Massimo CASTALDO
Caterina CHINNICI
Ignazio CORRAO
Andrea COZZOLINO
Rosa D'AMATO
Nicola DANTI
Salvatore DE MEO
Paolo DE CASTRO
Francesca DONATO
Herbert DORFMANN
Marco DREOSTO
Eleonora EVI
Giuseppe FERRANDINO
Laura FERRARA
Carlo FIDANZA
Pietro FIOCCHI
Raffaele FITTO
Mario FURORE
Gianna GANCIA
Dino GIARRUSSO
Danilo Oscar LANCINI
Elena LIZZI
Fulvio MARTUSCIELLO
Giuseppe MILAZZO
Alessandra MORETTI
Alessandro PANZA
Aldo PATRICIELLO
Piernicola PEDICINI
Pina PICIERNO
Sabrina PIGNEDOLI
Giuliano PISAPIA
Antonio Maria RINALDI
Daniela RONDINELLI
Massimiliano SALINI
Silvia SARDONE
Massimiliano SMERIGLIO
Antonio TAJANI
Annalisa TARDINO
Irene TINAGLI
Patrizia TOIA
Lucia VUOLO
Marco ZANNI
Clara AGUILERA
Pernando BARRENA ARZA
Jos Ramn BAUZ DAZ
Isabel BENJUMEA BENJUMEA
Izaskun BILBAO BARANDICA
Jorge BUXAD VILLALBA
Jordi CAAS
Pilar del CASTILLO VERA
Antoni COMN I OLIVERES
Estrella DUR FERRANDIS
Jons FERNNDEZ
Lina GLVEZ MUOZ
Ibn GARCA DEL BLANCO
Jos Manuel GARCA-MARGALLO Y MARFIL
Iratxe GARCA PREZ
Eider GARDIAZABAL RUBIAL
Luis GARICANO
Mnica Silvana GONZLEZ
Nicols GONZLEZ CASARES
Esteban GONZLEZ PONS
Alicia HOMS GINEL
Javi LPEZ
Juan Fernando LPEZ AGUILAR
Leopoldo LPEZ GIL
Antonio LPEZ-ISTRIZ WHITE
Csar LUENA
Cristina MAESTRE MARTN DE ALMAGRO
Adriana MALDONADO LPEZ
Gabriel MATO
Francisco Jos MILLN MON
Dolors MONTSERRAT
Manu PINEDA
Clara PONSAT OBIOLS
Carles PUIGDEMONT I CASAMAJ
Sira REGO
Diana RIBA I GINER
Inma RODRGUEZ-PIERO
Mara Soraya RODRGUEZ RAMOS
Marcos ROS SEMPERE
Domnec RUIZ DEVESA
Nacho SNCHEZ AMOR
Jordi SOL
Susana SOLS PREZ
Hermann TERTSCH
Miguel URBN CRESPO
Ernest URTASUN
Idoia VILLANUEVA RUIZ
Adrin VZQUEZ LZARA
Javier ZARZALEJOS
Juan Ignacio ZOIDO LVAREZ
Alviina ALAMETS
Laura HUHTASAARI
Elsi KATAINEN
Miapetra KUMPULA-NATRI
Ville NIINIST
Sirpa PIETIKINEN
Petri SARVAMAA
Nils TORVALDS
Henna VIRKKUNEN
Abir AL-SAHLANI
Malin BJRK
Jakop G. DALUNDE
Fredrick FEDERLEY
Jytte GUTELAND
Pr HOLMGREN
Karin KARLSBRO
Arba KOKALARI
David LEGA
Jessica POLFJRD
Sara SKYTTEDAL
Tomas TOB
Jrgen WARBORN
Charlie WEIMERS
Andris AMERIKS
Ivars IJABS
Sandra KALNIETE
Inese VAIDERE
Tatjana DANOKA
Christine ANDERSON
Rasmus ANDRESEN
Katarina BARLEY
Nicola BEER
Hildegard BENTELE
Lars Patrick BERG
Stefan BERGER
Michael BLOSS
Damian BOESELAGER
Patrick BREYER
Delara BURKHARDT
Martin BUSCHMANN
Daniel CASPARY
Anna CAVAZZINI
zlem DEMIREL
Christian DOLESCHAL
Cornelia ERNST
Ismail ERTUG
Markus FERBER
Romeo FRANZ
Daniel FREUND
Michael GAHLER
Evelyne GEBHARDT
Alexandra GEESE
Svenja HAHN
Henrike HAHN
Martin HUSLING
Monika HOHLMEIER
Peter JAHR
Ska KELLER
Moritz KRNER
Maximilian KRAH
Joachim KUHS
Sergey LAGODINSKY
Bernd LANGE
Katrin LANGENSIEPEN
Peter LIESE
Norbert LINS
David McALLISTER
Erik MARQUARDT
Martina MICHELS
Ulrike MLLER
Hannah NEUMANN
Angelika NIEBLER
Jan-Christoph OETJEN
Jutta PAULUS
Markus PIEPER
Dennis RADTKE
Terry REINTKE
Christine SCHNEIDER
Helmut SCHOLZ
Sven SCHULZE
Andreas SCHWAB
Nico SEMSROTT
Sven SIMON
Birgit SIPPEL
Martin SONNEBORN
Sabine VERHEYEN
Viola VON CRAMON-TAUBADEL
Axel VOSS
Marion WALSMANN
Manfred WEBER
Tiemo WLKEN
Nikos ANDROULAKIS
Anna-Michelle ASIMAKOPOULOU
Emmanouil FRAGKOS
Alexis GEORGOULIS
Eva KAILI
Manolis KEFALOGIANNIS
Petros KOKKALIS
Stelios KOULOGLOU
Elena KOUNTOURA
Stelios KYMPOUROPOULOS
Georgios KYRTSOS
Ioannis LAGOS
Vangelis MEIMARAKIS
Dimitrios PAPADIMOULIS
Maria SPYRAKI
Elissavet VOZEMBERG-VRIONIDI
Marc ANGEL
Christophe HANSEN
Monica SEMEDO
Isabel WISELER-LIMA
Andrus ANSIP
Jaak MADISON
Urmas PAET
Yana TOOM
Maria ARENA
Pascal ARIMONT
Marc BOTENGA
Saskia BRICMONT
Petra DE SUTTER
Cindy FRANSSEN
Assita KANKO
Benot LUTGEN
Kris PEETERS
Frdrique RIES
Marc TARABELLA
Hilde VAUTMANS
Guy VERHOFSTADT
Clotilde ARMAND
Traian BSESCU
Daniel BUDA
Maria GRAPINI
Marian-Jean MARINESCU
Siegfried MUREAN
Victor NEGRESCU
Nicolae TEFNU
Ramona STRUGARIU
Lornt VINCZE
Iuliu WINKLER
Manon AUBRY
Jordan BARDELLA
Nicolas BAY
Aurelia BEIGNEUX
Franois-Xavier BELLAMY
Dominique BILDE
Benot BITEAU
Manuel BOMPARD
Gilles BOYER
Annika BRUNA
Sylvie BRUNET
Pascal CANFIN
Damien CARME
Catherine CHABAUD
Leila CHAIBI
Ilana CICUREL
Nathalie COLIN-OESTERL
Gilbert COLLARD
David CORMAND
Arnaud DANJEAN
Gwendoline DELBOS-CORFIELD
Karima DELLI
Geoffroy DIDIER
Agns EVREN
Laurence FARRENG
Raphal GLUCKSMANN
Catherine GRISET
Christophe GRUDLER
Valrie HAYER
Brice HORTEFEUX
Yannick JADOT
Jean-Franois JALKH
France JAMET
Virginie JORON
Pierre KARLESKIND
Fabienne KELLER
Jean-Lin LACAPELLE
Aurore LALUCQ
Hlne LAPORTE
Pierre LARROUTUROU
Gilles LEBRETON
Julie LECHANTEUX
Thierry MARIANI
Emmanuel MAUREL
Jolle MLIN
Nadine MORANO
Younous OMARJEE
Dominique RIQUET
Jrme RIVIRE
Caroline ROOSE
Anne SANDER
Mounir SATOURI
Stphane SJOURN
Marie TOUSSAINT
Marie-Pierre VEDRENNE
Stphanie YON-COURTIN
Margrete AUKEN
Niels FUGLSANG
Morten LKKEGAARD
Karen MELCHIOR
Kira Marie PETER-HANSEN
Morten PETERSEN
Christel SCHALDEMOSE
Linea SGAARD-LIDELL
Nikolaj VILLUMSEN
Marianne VIND
Pernille WEISS
Petras AUTREVIIUS
Rasa JUKNEVIIEN
Andrius KUBILIUS
Aura MALDEIKIEN
Malik AZMANI
Tom BERENDSEN
Mohammed CHAHIM
Peter van DALEN
Bas EICKHOUT
Derk Jan EPPINK
Bart GROOTHUIS
Anja HAZEKAMP
Jan HUITEMA
Sophia in 't VELD
Agnes JONGERIUS
Esther de LANGE
Jeroen LENAERS
Antonius MANDERS
Caroline NAGTEGAAL
Kati PIRI
Rob ROOKEN
Dorien ROOKMAKER
Robert ROOS
Bert-Jan RUISSEN
Annie SCHREIJER-PIERIK
Liesje SCHREINEMACHER
Tineke STRIK
Paul TANG
Vera TAX
Kim VAN SPARRENTAK
Lara WOLTERS
Vladimr BILK
Lucia URI NICHOLSONOV
Robert HAJEL
Martin HOJSK
Eugen JURZYCA
Miriam LEXMANN
Michal IMEKA
Ivan TEFANEC
Andrea BOCSKOR
Katalin CSEH
Andor DELI
Tams DEUTSCH
Anna Jlia DONTH
Mrton GYNGYSI
Enik GYRI
Balzs HIDVGHI
Gyrgy HLVNYI
Lvia JRKA
dm KSA
Sndor RNAI
Edina TTH
Lszl TRCSNYI
Istvn UJHELYI
Franc BOGOVI
Irena JOVEVA
Ljudmila NOVAK
Romana TOMC
Milan ZVER
Biljana BORZAN
Sunana GLAVAK
Predrag Fred MATI
Tonino PICULA
Karlo RESSLER
Tomislav SOKOL
Rua TOMAI
eljana ZOVKO
Isabel CARVALHAIS
Maria da Graa CARVALHO
Sara CERDAS
Jos Manuel FERNANDES
Joo FERREIRA
Francisco GUERREIRO
Jos GUSMO
Maria-Manuel LEITO-MARQUES
Margarida MARQUES
Pedro MARQUES
Marisa MATIAS
Nuno MELO
Cludia MONTEIRO DE AGUIAR
Ldia PEREIRA
Paulo RANGEL
Carlos ZORRINHO
David CASA
Josianne CUTAJAR
Miriam DALLI
Roberta METSOLA
Alfred SANT
Lefteris CHRISTOFOROU
Loucas FOURLAS
Costas MAVRIDES
Deirdre CLUNE
Ciarn CUFFE
Frances FITZGERALD
Luke Ming FLANAGAN
Sen KELLY
Mairead McGUINNESS
Chris MACMANUS
Grace O'SULLIVAN
Mick WALLACE
Maria WALSH
Martina DLABAJOV
Markta GREGOROV
Marcel KOLAJA
Ludk NIEDERMAYER
Mikul PEKSA
Stanislav POLK
Ji POSPIL
Michaela OJDROV
Alexandr VONDRA
Veronika VRECIONOV
Jan ZAHRADIL
Tom ZDECHOVSK
Claudia GAMON
Hannes HEIDE
Othmar KARAS
Lukas MANDL
Evelyn REGNER
Andreas SCHIEDER
Barbara THALER
Angelika WINZIG
